month,total_rainfall,year
1,107.1,1982
2,27.8,1982
3,160.8,1982
4,157.0,1982
5,102.2,1982
6,59.5,1982
7,76.3,1982
8,169.5,1982
9,54.1,1982
10,39.3,1982
11,134.0,1982
12,494.1,1982
1,246.0,1983
2,5.6,1983
3,18.6,1983
4,33.6,1983
5,160.8,1983
6,94.0,1983
7,190.0,1983
8,262.2,1983
9,170.8,1983
10,212.7,1983
11,228.8,1983
12,370.6,1983
1,251.2,1984
2,470.4,1984
3,361.3,1984
4,153.1,1984
5,186.5,1984
6,255.0,1984
7,127.2,1984
8,102.7,1984
9,186.7,1984
10,187.5,1984
11,127.7,1984
12,277.4,1984
1,111.1,1985
2,79.3,1985
3,88.0,1985
4,110.5,1985
5,70.1,1985
6,37.0,1985
7,131.8,1985
8,56.9,1985
9,110.7,1985
10,169.0,1985
11,179.4,1985
12,340.1,1985
1,308.2,1986
2,26.7,1986
3,353.4,1986
4,150.0,1986
5,145.1,1986
6,122.9,1986
7,109.7,1986
8,72.9,1986
9,396.0,1986
10,227.3,1986
11,256.7,1986
12,367.2,1986
1,568.6,1987
2,86.9,1987
3,132.5,1987
4,72.5,1987
5,270.0,1987
6,126.6,1987
7,80.9,1987
8,191.9,1987
9,129.9,1987
10,22.6,1987
11,347.6,1987
12,72.8,1987
1,237.5,1988
2,158.1,1988
3,186.8,1988
4,109.6,1988
5,229.6,1988
6,252.2,1988
7,305.4,1988
8,80.1,1988
9,440.4,1988
10,134.6,1988
11,401.4,1988
12,62.9,1988
1,189.7,1989
2,52.4,1989
3,305.9,1989
4,198.6,1989
5,194.0,1989
6,117.6,1989
7,157.6,1989
8,201.0,1989
9,247.3,1989
10,111.0,1989
11,508.4,1989
12,179.7,1989
1,147.4,1990
2,24.1,1990
3,94.2,1990
4,52.4,1990
5,180.1,1990
6,112.6,1990
7,124.0,1990
8,146.6,1990
9,204.5,1990
10,56.4,1990
11,180.4,1990
12,201.1,1990
1,123.9,1991
2,45.5,1991
3,92.4,1991
4,134.2,1991
5,256.4,1991
6,88.7,1991
7,37.3,1991
8,226.2,1991
9,123.1,1991
10,52.0,1991
11,205.0,1991
12,492.3,1991
1,83.9,1992
2,62.4,1992
3,67.6,1992
4,160.3,1992
5,63.1,1992
6,162.8,1992
7,290.8,1992
8,76.1,1992
9,83.6,1992
10,233.2,1992
11,474.3,1992
12,502.7,1992
1,176.4,1993
2,69.2,1993
3,250.5,1993
4,283.9,1993
5,129.9,1993
6,115.5,1993
7,240.0,1993
8,106.8,1993
9,61.7,1993
10,175.5,1993
11,250.8,1993
12,308.5,1993
1,56.9,1994
2,133.5,1994
3,288.2,1994
4,154.0,1994
5,169.6,1994
6,184.7,1994
7,53.8,1994
8,45.1,1994
9,23.7,1994
10,84.7,1994
11,322.2,1994
12,425.4,1994
1,349.4,1995
2,334.0,1995
3,67.7,1995
4,242.3,1995
5,84.4,1995
6,63.7,1995
7,173.6,1995
8,211.6,1995
9,29.5,1995
10,101.1,1995
11,372.8,1995
12,302.5,1995
1,173.2,1996
2,180.2,1996
3,129.7,1996
4,178.2,1996
5,107.5,1996
6,265.8,1996
7,162.3,1996
8,258.4,1996
9,297.0,1996
10,300.0,1996
11,180.2,1996
12,185.5,1996
1,15.4,1997
2,105.4,1997
3,34.3,1997
4,118.4,1997
5,41.6,1997
6,78.9,1997
7,18.6,1997
8,86.6,1997
9,31.1,1997
10,78.4,1997
11,158.3,1997
12,351.9,1997
1,268.8,1998
2,32.5,1998
3,58.8,1998
4,187.7,1998
5,370.8,1998
6,198.8,1998
7,259.2,1998
8,195.0,1998
9,258.2,1998
10,222.7,1998
11,107.2,1998
12,463.4,1998
1,193.9,1999
2,67.4,1999
3,181.4,1999
4,88.5,1999
5,157.1,1999
6,103.4,1999
7,225.4,1999
8,204.0,1999
9,125.9,1999
10,205.0,1999
11,241.5,1999
12,340.5,1999
1,275.2,2000
2,237.8,2000
3,238.3,2000
4,311.6,2000
5,96.8,2000
6,157.5,2000
7,116.1,2000
8,113.5,2000
9,81.1,2000
10,120.9,2000
11,385.7,2000
12,236.0,2000
1,425.8,2001
2,86.6,2001
3,297.3,2001
4,203.3,2001
5,164.9,2001
6,137.1,2001
7,111.3,2001
8,158.3,2001
9,162.0,2001
10,252.2,2001
11,175.3,2001
12,609.0,2001
1,221.2,2002
2,50.8,2002
3,55.6,2002
4,116.5,2002
5,236.6,2002
6,83.1,2002
7,233.7,2002
8,54.2,2002
9,124.2,2002
10,10.8,2002
11,307.2,2002
12,255.0,2002
1,444.2,2003
2,172.9,2003
3,154.6,2003
4,159.9,2003
5,81.8,2003
6,50.3,2003
7,170.4,2003
8,193.6,2003
9,205.3,2003
10,351.4,2003
11,133.8,2003
12,273.0,2003
1,600.9,2004
2,31.9,2004
3,269.4,2004
4,57.1,2004
5,137.6,2004
6,127.2,2004
7,166.6,2004
8,185.2,2004
9,128.9,2004
10,125.6,2004
11,166.2,2004
12,139.8,2004
1,163.2,2005
2,8.4,2005
3,82.4,2005
4,81.7,2005
5,331.1,2005
6,82.3,2005
7,104.0,2005
8,58.5,2005
9,175.7,2005
10,314.5,2005
11,362.9,2005
12,166.0,2005
1,454.4,2006
2,115.5,2006
3,83.1,2006
4,239.8,2006
5,205.7,2006
6,236.8,2006
7,153.8,2006
8,127.3,2006
9,83.3,2006
10,102.0,2006
11,185.6,2006
12,765.9,2006
1,450.1,2007
2,105.5,2007
3,269.1,2007
4,240.2,2007
5,127.2,2007
6,139.0,2007
7,141.7,2007
8,190.7,2007
9,149.0,2007
10,237.2,2007
11,367.9,2007
12,468.6,2007
1,262.6,2008
2,129.2,2008
3,294.1,2008
4,87.2,2008
5,124.9,2008
6,118.3,2008
7,89.1,2008
8,327.3,2008
9,164.4,2008
10,159.5,2008
11,324.3,2008
12,244.2,2008
1,38.3,2009
2,201.8,2009
3,223.3,2009
4,183.7,2009
5,198.6,2009
6,21.8,2009
7,161.0,2009
8,177.8,2009
9,109.6,2009
10,133.4,2009
11,281.8,2009
12,189.8,2009
1,69.5,2010
2,6.3,2010
3,238.0,2010
4,158.5,2010
5,157.5,2010
6,240.5,2010
7,298.5,2010
8,158.4,2010
9,121.5,2010
10,166.2,2010
11,278.8,2010
12,181.4,2010
1,513.2,2011
2,23.0,2011
3,256.6,2011
4,217.8,2011
5,127.0,2011
6,213.0,2011
7,76.6,2011
8,81.4,2011
9,136.4,2011
10,216.8,2011
11,377.8,2011
12,284.6,2011
1,106.1,2012
2,83.6,2012
3,313.4,2012
4,260.6,2012
5,292.0,2012
6,53.0,2012
7,130.8,2012
8,119.0,2012
9,107.6,2012
10,122.2,2012
11,208.2,2012
12,363.4,2012
1,262.0,2013
2,395.2,2013
3,85.8,2013
4,159.4,2013
5,211.4,2013
6,111.4,2013
7,174.6,2013
8,165.6,2013
9,257.0,2013
10,285.4,2013
11,292.4,2013
12,348.2,2013
1,75.4,2014
2,0.2,2014
3,66.0,2014
4,110.0,2014
5,125.8,2014
6,71.4,2014
7,148.6,2014
8,241.0,2014
9,83.6,2014
10,120.0,2014
11,250.8,2014
12,245.6,2014
1,79.6,2015
2,18.8,2015
3,84.4,2015
4,73.2,2015
5,89.0,2015
6,95.8,2015
7,116.8,2015
8,185.8,2015
9,61.6,2015
10,87.2,2015
11,72.6,2015
12,302.3,2015
1,126.6,2016
2,186.0,2016
3,6.2,2016
4,89.8,2016
5,193.8,2016
6,162.8,2016
7,168.6,2016
8,139.2,2016
9,118.9,2016
10,181.0,2016
11,290.2,2016
12,292.6,2016
1,197.6,2017
2,158.4,2017
3,136.2,2017
4,208.6,2017
5,190.0,2017
6,106.0,2017
7,79.6,2017
8,84.2,2017
9,124.4,2017
10,120.8,2017
11,268.6,2017
12,371.2,2017
1,287.0,2018
2,14.8,2018
3,44.6,2018
4,61.2,2018
5,132.2,2018
6,182.6,2018
7,143.2,2018
8,121.6,2018
9,144.4,2018
10,234.4,2018
11,169.6,2018
12,172.6,2018
1,63.6,2019
2,31.6,2019
3,72.2,2019
4,174.8,2019
5,69.0,2019
6,173.8,2019
7,12.2,2019
8,11.8,2019
9,22.8,2019
10,176.8,2019
11,137.4,2019
12,421.5,2019
1,88.4,2020
2,65.0,2020
3,108.8,2020
4,188.0,2020
5,255.6,2020
6,233.8,2020
7,140.8,2020
8,103.4,2020
9,150.2,2020
10,78.8,2020
11,220.6,2020
12,253.2,2020
1,692.8,2021
2,1.0,2021
3,182.4,2021
4,290.4,2021
5,245.8,2021
6,93.4,2021
7,195.8,2021
8,293.6,2021
9,205.4,2021
10,177.0,2021
11,312.4,2021
12,119.6,2021
1,99.8,2022
2,175.0,2022
3,163.2,2022
4,239.6,2022
5,102.0,2022
6,211.8,2022
7,145.2,2022
8,141.4,2022
9,121.0,2022
10,279.0,2022
11,313.8,2022
12,215.4,2022
1,302.6,2023
2,324.4,2023
3,243.4,2023
4,222.8,2023
5,112.8,2023
6,228.4,2023
