date,traffic_in
1/1/15,5238
1/2/15,4324
1/3/15,5302
1/4/15,4590
1/5/15,1668
1/6/15,1820
1/7/15,1942
1/8/15,2056
1/9/15,2146
1/10/15,3454
1/11/15,2550
1/12/15,1790
01/13/15,1704
01/14/15,1628
01/15/15,1816
01/16/15,2885
01/17/15,3432
01/18/15,2950
01/19/15,1544
01/20/15,1664
01/21/15,1684
01/22/15,1702
01/23/15,2386
01/24/15,3732
01/25/15,3506
01/26/15,1900
01/27/15,4425
01/28/15,5742
01/29/15,6147
01/30/15,6896
01/31/15,12291
2/1/15,11330
2/2/15,5228
2/3/15,4871
2/4/15,5318
2/5/15,5583
2/6/15,7068
2/7/15,11832
2/8/15,11296
2/9/15,5082
2/10/15,5140
2/11/15,5709
2/12/15,5708
02/13/15,7065
02/14/15,12110
02/15/15,10560
02/16/15,7294
02/17/15,7194
02/18/15,6942
02/19/15,5591
02/20/15,7543
02/21/15,9166
02/22/15,7040
02/23/15,6030
02/24/15,5529
02/25/15,5095
02/26/15,5505
02/27/15,6469
02/28/15,9896
3/1/15,8972
3/2/15,5424
3/3/15,5945
3/4/15,5721
3/5/15,5607
3/6/15,7355
3/7/15,10722
3/8/15,9844
3/9/15,5913
3/10/15,5809
3/11/15,5720
3/12/15,5632
03/13/15,7264
03/14/15,10816
03/15/15,9725
03/16/15,5900
03/17/15,5959
03/18/15,5775
03/19/15,5131
03/20/15,7564
03/21/15,11081
03/22/15,9690
03/23/15,5840
03/24/15,5905
03/25/15,5704
03/26/15,5708
03/27/15,7533
03/28/15,10596
03/29/15,8325
03/30/15,5249
03/31/15,5415
4/1/15,5106
4/2/15,5366
4/3/15,7901
4/4/15,10631
4/5/15,9183
4/6/15,5527
4/7/15,5861
4/8/15,5474
4/9/15,5632
4/10/15,7317
4/11/15,10844
4/12/15,9469
04/13/15,5782
04/14/15,5559
04/15/15,5509
04/16/15,5562
04/17/15,7255
04/18/15,10573
04/19/15,9020
04/20/15,5457
04/21/15,5501
04/22/15,5240
04/23/15,5398
04/24/15,7135
04/25/15,10622
04/26/15,9352
04/27/15,5577
04/28/15,5493
04/29/15,5380
04/30/15,5713
5/1/15,8103
5/2/15,10501
5/3/15,8956
5/4/15,5535
5/5/15,5383
5/6/15,5267
5/7/15,5286
5/8/15,7097
5/9/15,10145
5/10/15,9140
5/11/15,5436
5/12/15,5571
05/13/15,5402
05/14/15,5421
05/15/15,7067
05/16/15,10398
05/17/15,9112
05/18/15,5606
05/19/15,5565
05/20/15,5357
05/21/15,5361
05/22/15,7229
05/23/15,10199
05/24/15,9137
05/25/15,5356
05/26/15,5498
05/27/15,5314
